n,flops_per_sec
425,1.95396e+09
426,1.94119e+09
427,1.94708e+09
428,1.95041e+09
429,1.94469e+09
430,1.94194e+09
431,1.93901e+09
432,1.93617e+09
433,1.93003e+09
434,1.94162e+09
435,1.94155e+09
436,1.93636e+09
437,1.93916e+09
438,1.92521e+09
439,1.94675e+09
440,1.93794e+09
441,1.93898e+09
442,1.91925e+09
443,1.89436e+09
444,1.872e+09
445,1.90635e+09
446,1.85293e+09
447,1.89897e+09
448,1.94933e+09
449,1.88507e+09
450,1.85227e+09
451,1.87969e+09
452,1.87559e+09
453,1.83143e+09
454,1.81094e+09
455,1.88378e+09
456,1.86484e+09
457,1.85155e+09
458,1.63458e+09
459,1.88658e+09
460,1.83104e+09
461,1.66434e+09
462,1.80766e+09
463,1.83981e+09
464,1.86001e+09
465,1.87093e+09
466,1.79393e+09
467,1.79827e+09
468,1.79979e+09
469,1.831e+09
470,1.86474e+09
471,1.85826e+09
472,1.81249e+09
473,1.67024e+09
474,1.84258e+09
475,1.85247e+09
476,1.86986e+09
477,1.81323e+09
478,1.79447e+09
479,1.78833e+09
480,1.8099e+09
481,1.82363e+09
482,1.82433e+09
483,1.81895e+09
484,1.85323e+09
485,1.79173e+09
486,1.82578e+09
487,1.79162e+09
488,1.84353e+09
489,1.81553e+09
490,1.8174e+09
491,1.80424e+09
492,1.79876e+09
493,1.64893e+09
494,1.82293e+09
495,1.77555e+09
496,1.80373e+09
497,1.83445e+09
498,1.84721e+09
499,1.82128e+09
500,1.82225e+09
501,1.82169e+09
502,1.80253e+09
503,1.82771e+09
504,1.8034e+09
505,1.76778e+09
506,1.67809e+09
507,1.79389e+09
508,1.83406e+09
509,1.83937e+09
510,1.80239e+09
511,1.7348e+09
512,1.8084e+09
